Student_ID,Name,Gender,Age,Department,Region,Admission_Year,Semester_GPA,Attendance_%,Clubs,Hostel,Fee_Paid,Fee_Due,Placement_Status,Internship_Company,Exam_Date,Remarks
S1042,Harsh,F,18.0,cse,south,2021,9.06,,Drama,N,27985,5000.0,,IBM,2021/13/05,avg
S1043,Joy,female,19.0,CSE,West,2022,6.45,,music,N,58537,,PENDING,None,2021/13/05,Poor
S1044,Sneha,M,23.0,ECE,south,2022,8.86,50.04,None,Yes,29435,10000.0,placed,Google,12-10-2021,Poor
S1045,Rohan,F,21.0,CSE,West,20-21,4.98,57.07,music,,,2000.0,placed,Google,,Poor
S1046,Ali,Male,19.0,cse,South,2019,8.33,85%,Coding,No,50k,0.0,PENDING,,,
S1047,Zoya,Female,200.0,CSE,North,2020,9.54,85%,Drama,,50000,5000.0,,Amazon,,avg
S1048,Neha,Female,,it,South,2022,9.47,85%,music,,33128,,placed,IBM,,Excellent
S1049,Kabir,female,22.0,IT,South,2021,,87.98,,Y,50000,,,Flipkart,2023-05-12,
S1050,Rahul,F,21.0,Civil,West,2019,6.78,,,Y,50k,,placed,TCS,2021/13/05,Excellent
S1051,Priya,M,,Mech,south,2019,6.23,,,,81791,,PENDING,Accenture,2021/13/05,
S1052,Kruti,F,21.0,it,North,2021,4.2,85%,Sports,Y,50k,5000.0,placed,Amazon,12-10-2021,avg
S1053,Simran,M,23.0,CIVIL,nORTH,2021,,85%,Music,,50k,,Placed,TCS,,
S1054,Sneha C,F,18.0,MECH,nORTH,2019,5.36,,None,Yes,50k,,PENDING,None,05/11/2022,
S1055,Arjun,F,18.0,CIVIL,South,2019,6.13,85%,,Y,,,PENDING,TCS,12-10-2021,Excellent
S1056,Amit,F,200.0,it,North,2020,4.94,85%,Sports,No,,,placed,Infosys,2021/13/05,
S1057,Priya,male,23.0,IT,nORTH,2023,6.33,,music,Y,63691,,PENDING,Infosys,,
S1058,Neha,male,21.0,it,North,2020,5.96,85%,None,Y,50k,5000.0,,Amazon,05/11/2022,avg
S1059,Kruti,M,23.0,Mech,North,2019,4.1,85%,None,Y,,2000.0,Not placed,Amazon,05/11/2022,
S1060,Zoya B,F,18.0,cse,nORTH,2021,7.09,,None,Yes,50k,,Placed,None,12-10-2021,Poor
S1061,Kruti,Female,18.0,Ece,West,2022,9.59,82.87,Drama,No,50k,10000.0,Placed,Flipkart,05/11/2022,Poor
S1062,Joy,M,20.0,Ece,south,2023,6.57,,Sports,Y,50000,2000.0,Not placed,IBM,2023-05-12,Good
S1063,Kruti,F,20.0,MECH,nORTH,2021,5.02,,,Y,80040,5000.0,placed,Accenture,12-10-2021,avg
S1064,Kruti,Female,22.0,CSE,West,2021,7.5,,None,No,50k,10000.0,,Accenture,05/11/2022,
S1065,Simran,F,20.0,ECE,nORTH,2023,4.57,,music,N,50k,2000.0,PENDING,TCS,12-10-2021,Excellent
S1066,Neha,M,20.0,CSE,nORTH,2019,5.55,,None,Y,50k,10000.0,PENDING,IBM,,Excellent
S1067,Fatima,F,18.0,Mech,North,20-21,,,Coding,N,50000,0.0,Placed,Flipkart,2021/13/05,avg
S1068,Arjun,Female,22.0,it,South,2022,9.67,,Music,No,92456,,Not placed,TCS,,
S1069,Kruti,M,200.0,MECH,West,2023,4.49,,Sports,No,50000,10000.0,Not placed,Wipro,,Good
S1070,Meera,M,19.0,CSE,south,2020,9.73,94.46,Sports,Y,,,placed,,05/11/2022,avg
S1071,Rohan,F,18.0,CSE,nORTH,2020,5.18,87.76,None,N,50k,5000.0,placed,IBM,05/11/2022,
S1072,Jose,male,22.0,it,nORTH,2022,5.16,90.38,Coding,Yes,50k,,placed,Amazon,12-10-2021,avg
S1073,Aisha,Female,23.0,Ece,South,20-21,5.44,,None,N,,5000.0,Placed,IBM,05/11/2022,Excellent
S1074,Jose,male,21.0,ECE,south,2020,7.63,,Drama,,50000,5000.0,Not placed,TCS,12-10-2021,
S1075,Neha,F,23.0,CIVIL,nORTH,2019,8.59,85%,,Yes,,0.0,Placed,None,2021/13/05,Excellent
S1076,Harsh,F,18.0,Mech,nORTH,2022,9.91,49.03,Music,Yes,,,,Flipkart,05/11/2022,
S1077,Zoya,female,,Civil,North,2021,9.03,85%,Coding,Yes,50k,,Not placed,None,05/11/2022,Excellent
S1078,Kiran,Female,19.0,cse,nORTH,2020,7.58,,Music,N,50000,,placed,Flipkart,12-10-2021,Good
S1079,Fatima,Male,19.0,ECE,south,2022,5.54,,None,Yes,,0.0,,Accenture,12-10-2021,
S1080,Harsh,Female,,CIVIL,nORTH,2022,5.2,,Coding,No,50k,0.0,placed,None,2023-05-12,Excellent
S1081,Joy,Female,,ECE,south,2021,7.81,,music,Y,,,Placed,Infosys,2023-05-12,Excellent
S1082,Joy,Male,18.0,CSE,South,2023,6.23,88.79,Coding,,50k,10000.0,Placed,Google,2021/13/05,Excellent
S1083,Priya,Male,21.0,cse,North,2022,7.09,85%,Music,No,,,placed,Accenture,12-10-2021,
S1084,Simran,Male,20.0,IT,South,2022,7.58,60.5,music,No,,5000.0,PENDING,Flipkart,,Poor
S1085,Kruti,male,18.0,Civil,West,2021,4.18,85%,Music,Yes,50000,,PENDING,Wipro,12-10-2021,Excellent
S1086,Kiran,male,21.0,Mech,North,20-21,8.18,,,N,78086,,Placed,None,2023-05-12,
S1087,Vikram,male,21.0,it,West,20-21,5.12,,Coding,,,5000.0,PENDING,IBM,12-10-2021,
S1088,Kabir,male,20.0,MECH,East,2023,7.06,,music,Y,50k,,Not placed,Google,2021/13/05,avg
S1089,Meera,Female,,IT,North,2021,5.61,,None,N,50000,5000.0,Placed,Flipkart,05/11/2022,avg
S1090,Rohan A,female,18.0,MECH,South,2021,,85%,Music,No,50k,,Placed,None,,Good
S1091,Simran,Male,,it,nORTH,2021,7.62,,Coding,N,50k,0.0,PENDING,Google,2023-05-12,Poor
S1092,Sneha,Male,23.0,Ece,West,2022,4.52,85%,,Yes,,10000.0,PENDING,TCS,,avg
S1093,Ali,female,21.0,CSE,south,20-21,8.96,,Music,,50000,0.0,Not placed,TCS,12-10-2021,Poor
S1094,Ali,F,,Civil,East,20-21,4.44,52.14,music,Yes,,,Placed,Wipro,12-10-2021,
S1095,Rahul,female,21.0,Mech,North,2022,4.92,85%,None,No,50000,5000.0,Placed,Wipro,2023-05-12,
S1096,Meera,female,,IT,South,2022,5.87,,Drama,Y,50000,2000.0,Not placed,Flipkart,2023-05-12,avg
S1097,Amit,M,,it,South,2022,4.88,85%,Drama,N,,5000.0,Placed,IBM,05/11/2022,
S1098,Rahul,Male,19.0,CIVIL,North,2023,8.8,85%,music,No,50k,10000.0,Placed,Google,,
S1099,Kabir,female,20.0,Civil,East,2023,9.89,85%,,No,50000,,PENDING,IBM,05/11/2022,
S1100,Joy,Male,,MECH,West,2023,4.47,,Coding,Y,,0.0,Not placed,,2023-05-12,Excellent
S1101,Kruti,female,18.0,IT,nORTH,2021,9.66,,Music,No,65655,0.0,,IBM,2021/13/05,Excellent
S1102,Amit,female,23.0,it,North,2019,8.93,,music,No,89286,5000.0,Not placed,None,,Excellent
S1103,Harsh A,male,21.0,IT,West,2023,9.01,85%,Coding,No,,10000.0,placed,Google,05/11/2022,Excellent
S1104,Zoya,male,23.0,cse,nORTH,2022,8.13,44.66,Coding,N,50000,0.0,PENDING,IBM,12-10-2021,
S1105,Meera,female,,CSE,nORTH,2021,,,None,,50k,,,None,12-10-2021,
S1106,Vikram,Female,21.0,ECE,North,2019,7.13,51.5,Music,No,50000,5000.0,PENDING,Infosys,2021/13/05,avg
S1107,Kruti,female,21.0,CSE,south,2022,8.84,,None,Y,50000,5000.0,PENDING,Google,2023-05-12,
S1108,Fatima,Male,,cse,nORTH,2021,5.5,,Coding,N,41317,0.0,Placed,Amazon,12-10-2021,Good
S1109,Sneha,male,20.0,CSE,South,2022,7.38,,Music,,35467,,,Flipkart,,avg
S1110,Ali B,female,,ECE,West,20-21,6.66,,,No,50000,5000.0,,Google,05/11/2022,Excellent
S1111,Rohan,Female,18.0,it,south,20-21,7.61,85%,Music,Yes,50000,2000.0,Not placed,Google,,Good
S1112,Aisha,Female,,Ece,nORTH,2022,7.13,,Drama,Y,50000,,Placed,Wipro,05/11/2022,Good
S1113,Neha C,F,18.0,CIVIL,North,2019,6.21,,music,N,,2000.0,,,2023-05-12,
S1114,Neha,F,18.0,Ece,East,2022,9.0,,Music,N,,2000.0,Not placed,None,2021/13/05,avg
S1115,Zoya,Female,22.0,Ece,West,2019,4.56,,None,Yes,,5000.0,placed,Wipro,12-10-2021,Excellent
S1116,Neha A,Female,20.0,CIVIL,East,2021,7.9,85%,None,No,,0.0,Placed,Wipro,,
S1117,Neha,F,21.0,Civil,East,2023,6.9,83.97,None,Y,75285,0.0,,Wipro,05/11/2022,Good
S1118,Kiran,M,200.0,Ece,South,20-21,8.17,,Coding,Yes,50k,0.0,Placed,IBM,2023-05-12,
S1119,Arjun,female,23.0,Ece,south,2021,8.98,,Coding,Y,50000,0.0,,Wipro,12-10-2021,
S1120,Simran,Female,18.0,ECE,south,2023,7.32,,music,No,,2000.0,,Google,05/11/2022,Good
S1121,Fatima,Female,200.0,it,West,2022,9.83,70.57,Coding,Y,,0.0,,None,2023-05-12,Excellent
S1122,Kruti,F,23.0,Civil,West,2022,8.21,85%,Sports,Y,,,Not placed,,,Excellent
S1123,Neha B,F,18.0,IT,nORTH,2022,7.26,85%,music,No,50k,2000.0,,None,2021/13/05,avg
S1124,Aisha B,M,19.0,Mech,West,2022,8.41,41.72,None,No,,2000.0,Not placed,Flipkart,2023-05-12,Poor
S1125,Sneha,male,18.0,ECE,East,20-21,7.54,,Sports,Y,,5000.0,,Infosys,12-10-2021,Good
S1126,Harsh,M,22.0,CSE,nORTH,2023,8.34,,Sports,N,,2000.0,PENDING,,2021/13/05,avg
S1127,Kruti,Male,19.0,Civil,North,2021,8.66,,,No,50k,2000.0,PENDING,,12-10-2021,Excellent
S1128,Neha,female,18.0,ECE,nORTH,2022,9.46,,None,,50000,,Placed,None,2021/13/05,
S1129,Kabir,Female,22.0,IT,South,2020,5.79,,Music,N,67655,,placed,,12-10-2021,avg
S1130,Priya,Female,200.0,IT,nORTH,2021,6.99,85%,music,No,39843,,placed,Infosys,2021/13/05,
S1131,Fatima,F,22.0,Civil,nORTH,2022,7.92,,,Yes,80757,,placed,Wipro,12-10-2021,Poor
S1132,Meera,female,23.0,Ece,North,2021,8.29,,music,No,86800,2000.0,placed,Flipkart,,
S1133,Ali,Male,23.0,it,nORTH,2022,4.85,85%,None,,50k,5000.0,Placed,TCS,,Good
S1134,Joy,Male,19.0,cse,South,20-21,5.87,85%,Music,Yes,,,placed,IBM,2021/13/05,Poor
S1135,Zoya,M,22.0,CSE,North,2022,8.98,,music,N,,0.0,PENDING,,2021/13/05,Excellent
S1136,Zoya,Male,18.0,cse,East,2019,5.92,,None,,,,placed,TCS,2023-05-12,
S1137,Arjun,female,23.0,it,North,2023,6.58,50.46,Music,Yes,64566,0.0,placed,,2021/13/05,Excellent
S1138,Rohan,Male,200.0,Mech,nORTH,2019,6.25,,None,Yes,50k,,Placed,Google,2023-05-12,Poor
S1139,Ali,F,20.0,ECE,East,20-21,4.4,80.3,music,Y,,10000.0,placed,Infosys,12-10-2021,Poor
S1140,Kruti,M,21.0,MECH,West,2019,4.85,,,Yes,50k,,PENDING,Accenture,2023-05-12,Excellent
S1141,Rahul C,F,22.0,cse,South,20-21,7.11,92.63,Sports,No,50k,10000.0,placed,Infosys,12-10-2021,Good
S1142,Aisha,Female,18.0,Mech,South,20-21,4.51,85%,,,23030,2000.0,Not placed,Infosys,12-10-2021,avg
S1143,Harsh,Female,,cse,West,2020,7.79,85%,None,Yes,50k,0.0,Placed,None,2021/13/05,
S1144,Simran,female,20.0,IT,West,2022,6.13,,None,Y,50k,5000.0,placed,Amazon,12-10-2021,
S1145,Kabir,F,,it,North,2021,9.72,85%,music,No,50000,2000.0,,TCS,,Excellent
S1146,Fatima B,female,20.0,IT,nORTH,2023,5.48,85%,music,Yes,50k,2000.0,Not placed,Google,12-10-2021,Poor
S1147,Arjun,Male,21.0,Ece,East,2022,9.55,,Sports,N,50000,5000.0,PENDING,,2021/13/05,Poor
S1148,Aisha,Female,22.0,IT,south,2022,6.58,64.69,Music,No,,,Not placed,None,12-10-2021,
S1149,Joy,Male,23.0,Ece,south,20-21,5.44,,Coding,,50000,0.0,placed,Flipkart,05/11/2022,
S1150,Kabir,M,200.0,cse,nORTH,2022,7.97,,None,N,50000,5000.0,Not placed,IBM,05/11/2022,Good
S1151,Meera,Female,21.0,CSE,West,2023,6.23,,music,No,50k,,Placed,TCS,2021/13/05,
S1152,Harsh,Female,18.0,Civil,West,2020,6.99,85%,Sports,No,50000,,Not placed,None,2023-05-12,Poor
S1153,Fatima,Male,200.0,it,South,2020,6.84,85%,Sports,,50000,,placed,IBM,12-10-2021,Good
S1154,Priya,M,23.0,ECE,south,2022,4.99,85%,Drama,No,50000,2000.0,PENDING,Infosys,05/11/2022,Poor
S1155,Vikram,Male,,it,south,2023,6.95,,Sports,Yes,21171,5000.0,Placed,Infosys,,
S1156,Ali,M,19.0,Civil,south,2023,9.29,85%,,No,50000,2000.0,placed,Flipkart,2021/13/05,Excellent
S1157,Neha,M,20.0,Civil,West,20-21,4.55,85%,music,Y,50000,5000.0,Not placed,IBM,12-10-2021,Excellent
S1158,Joy,M,,ECE,West,2022,7.92,,,Y,50000,5000.0,,Wipro,12-10-2021,
S1159,Joy,F,21.0,it,South,2020,9.27,71.28,Sports,N,50k,2000.0,placed,Flipkart,12-10-2021,
S1160,Joy,male,,Civil,East,2020,4.65,49.4,None,,64361,,PENDING,None,05/11/2022,Excellent
S1161,Kruti,female,200.0,Mech,North,2022,7.95,,Coding,Yes,50k,,Not placed,TCS,2023-05-12,
S1162,Sneha C,female,19.0,Mech,nORTH,2020,5.41,73.48,Music,Yes,50k,,PENDING,TCS,2023-05-12,Poor
S1163,Arjun,Male,23.0,CIVIL,North,2022,8.0,85%,None,Y,33875,10000.0,Placed,Amazon,,avg
S1164,Priya,Female,21.0,Mech,East,2022,9.33,85%,Sports,No,50k,10000.0,Not placed,IBM,05/11/2022,
S1165,Ali,female,19.0,Ece,North,2020,9.67,48.6,music,No,50k,5000.0,,Infosys,05/11/2022,avg
S1166,Neha,male,21.0,Civil,North,2019,8.41,,Music,No,50000,5000.0,PENDING,TCS,2021/13/05,avg
S1167,Joy,Male,19.0,it,South,2019,8.05,85%,Coding,N,50000,,placed,,,Good
S1168,Kabir,male,22.0,Civil,West,2019,5.32,85%,Sports,Yes,78564,0.0,Placed,TCS,,Good
S1169,Aisha,M,19.0,Civil,East,2019,5.59,88.68,Coding,Yes,50k,0.0,Not placed,TCS,2023-05-12,Good
S1170,Simran,F,22.0,CIVIL,South,2020,5.87,,Music,Yes,50000,,Not placed,IBM,2023-05-12,Poor
S1171,Neha,M,21.0,CIVIL,North,20-21,6.33,85%,Coding,,50000,,Placed,Accenture,05/11/2022,Poor
S1172,Neha,Male,20.0,cse,South,2022,9.77,85%,music,N,53765,0.0,Not placed,None,2021/13/05,Excellent
S1173,Joy,F,200.0,Ece,South,2022,5.12,63.4,Music,Yes,,2000.0,Placed,TCS,,
S1174,Ali,male,19.0,MECH,nORTH,2020,5.11,45.74,None,,50k,0.0,,Accenture,2021/13/05,Poor
S1175,Ali,Female,,it,East,2021,9.08,85%,Music,No,50k,,Not placed,Google,,Excellent
S1176,Vikram,Male,19.0,it,East,2021,7.81,79.01,music,Yes,50000,,,TCS,2023-05-12,avg
S1177,Kiran,F,20.0,CIVIL,North,20-21,8.46,,music,Yes,50000,5000.0,Placed,,05/11/2022,Poor
S1178,Rahul,female,,it,North,2020,4.57,,Sports,No,40992,10000.0,Placed,Flipkart,05/11/2022,Poor
S1179,Rohan,Female,200.0,CIVIL,south,20-21,5.53,,,Y,70582,10000.0,PENDING,Infosys,05/11/2022,
S1180,Ali C,Female,,Ece,South,2019,9.99,,Drama,Yes,54846,,Placed,TCS,2021/13/05,
S1181,Simran,male,23.0,IT,North,2019,8.31,,,Y,50000,2000.0,PENDING,None,12-10-2021,Poor
S1182,Zoya,M,22.0,Ece,East,2022,6.95,,Drama,Y,50000,5000.0,,TCS,2021/13/05,Excellent
S1183,Fatima,Male,200.0,ECE,nORTH,2020,9.02,85%,,Yes,50000,5000.0,Not placed,Amazon,2021/13/05,avg
S1184,Amit,Male,22.0,Ece,West,2019,,,Coding,,50982,0.0,Not placed,Accenture,,Poor
S1185,Aisha,M,23.0,Civil,nORTH,20-21,8.09,,Music,Y,45930,10000.0,placed,IBM,,Poor
S1186,Simran C,M,,it,North,2019,8.08,85%,None,No,,2000.0,Not placed,,2021/13/05,Poor
S1187,Meera,F,23.0,MECH,South,2022,7.91,,Sports,Yes,50k,10000.0,placed,Accenture,2021/13/05,Poor
S1188,Kiran A,Female,23.0,CIVIL,East,2021,5.66,,music,,50000,,PENDING,Amazon,05/11/2022,Poor
S1189,Sneha,M,21.0,CSE,south,20-21,7.59,,Sports,No,,5000.0,Placed,Wipro,12-10-2021,Poor
S1190,Ali A,M,19.0,MECH,East,2020,7.66,,Sports,Y,83058,,Placed,Wipro,,avg
S1191,Aisha B,male,200.0,Mech,South,20-21,6.8,85%,Coding,N,,2000.0,PENDING,,2023-05-12,Good
S1192,Zoya,female,23.0,ECE,south,20-21,4.91,,,,50000,,Placed,TCS,,avg
S1193,Priya,F,20.0,ECE,North,2022,7.13,,,Yes,50000,5000.0,PENDING,None,2023-05-12,Excellent
S1194,Kabir,female,22.0,Mech,South,2022,4.48,,Sports,Y,50k,2000.0,Not placed,Google,,
S1195,Fatima,F,200.0,CIVIL,south,2021,9.27,85%,Music,No,50000,,PENDING,Amazon,2021/13/05,Poor
S1196,Joy,Male,20.0,CIVIL,North,2023,7.06,,Drama,Y,,,,TCS,12-10-2021,
S1197,Joy,M,21.0,Civil,North,2022,5.42,,Sports,Yes,50000,2000.0,Not placed,Infosys,2023-05-12,Poor
S1198,Harsh,Female,22.0,Ece,East,2022,,54.19,music,N,,,Placed,TCS,05/11/2022,Good
S1199,Ali,M,21.0,CIVIL,nORTH,20-21,5.94,85%,music,Y,49784,0.0,Not placed,Infosys,12-10-2021,
S1200,Amit,female,200.0,Civil,North,2022,4.77,,Sports,N,50000,5000.0,Not placed,Google,05/11/2022,Excellent
S1201,Rohan,F,22.0,cse,nORTH,20-21,4.2,,Drama,Y,50000,2000.0,Placed,Wipro,05/11/2022,
S1202,Rohan,F,21.0,ECE,South,2019,4.45,85%,,N,49802,2000.0,Not placed,Amazon,2023-05-12,Good
S1203,Kiran,M,200.0,CSE,West,2023,6.11,50.76,Music,Y,76652,2000.0,Not placed,TCS,05/11/2022,Good
S1204,Joy,Female,200.0,MECH,south,2023,5.26,,Sports,N,55184,10000.0,PENDING,None,2023-05-12,
S1205,Amit,Female,20.0,Civil,West,2022,7.8,,music,Y,50000,,PENDING,None,2023-05-12,Poor
S1206,Zoya,Female,18.0,Ece,East,2023,9.93,,Sports,,42610,2000.0,PENDING,TCS,,avg
S1207,Arjun B,Female,18.0,Mech,North,20-21,4.53,,music,N,84059,,placed,Wipro,12-10-2021,Excellent
S1208,Kabir,Female,18.0,MECH,West,2020,9.68,,Coding,N,60090,,,TCS,,
S1209,Harsh,Male,21.0,Mech,East,2022,4.0,85%,Sports,No,,,placed,IBM,05/11/2022,Excellent
S1210,Kabir,female,18.0,MECH,West,2021,9.79,,Drama,No,,,Placed,Amazon,05/11/2022,
S1211,Amit,female,21.0,it,North,2022,5.06,,Drama,N,50000,5000.0,Placed,IBM,05/11/2022,
S1212,Fatima A,male,,IT,East,2022,6.77,,Coding,N,,,Placed,Wipro,2021/13/05,Good
S1213,Rohan,male,18.0,MECH,West,2021,9.65,,Coding,No,50k,5000.0,PENDING,Flipkart,12-10-2021,Good
S1214,Vikram,female,19.0,MECH,West,2020,4.21,,None,,21554,10000.0,,Flipkart,12-10-2021,Excellent
S1215,Neha C,Male,,Mech,south,2021,5.07,,Drama,N,96225,0.0,,Infosys,2021/13/05,Excellent
S1216,Neha,Male,23.0,Civil,North,2020,6.49,,Sports,Yes,74682,,PENDING,Infosys,2023-05-12,
S1217,Joy,Female,20.0,Mech,West,2022,7.81,76.58,,Y,50k,2000.0,,,2021/13/05,Good
S1218,Rohan,M,200.0,CIVIL,nORTH,2022,4.57,85%,Sports,N,60825,2000.0,PENDING,Accenture,,
S1219,Simran,M,23.0,ECE,North,2022,5.82,54.53,music,No,,10000.0,Placed,Infosys,12-10-2021,Excellent
S1220,Joy C,female,20.0,CIVIL,South,2023,6.11,,Drama,N,,,placed,Wipro,2021/13/05,avg
S1221,Fatima,Male,18.0,MECH,south,2021,,85%,Coding,No,30795,10000.0,Not placed,Flipkart,05/11/2022,Poor
S1222,Kruti,male,23.0,Civil,West,20-21,5.86,,None,Y,,5000.0,PENDING,TCS,05/11/2022,Good
S1223,Vikram,Male,20.0,cse,East,2020,7.26,,Music,,50k,,Not placed,None,05/11/2022,avg
S1224,Kiran,female,,Mech,nORTH,2020,6.76,85%,music,Y,50k,2000.0,placed,IBM,2021/13/05,Poor
S1225,Kabir,M,18.0,Ece,South,2020,6.99,85%,Coding,No,50k,5000.0,Placed,Infosys,05/11/2022,
S1226,Ali,Female,20.0,ECE,South,20-21,8.6,85%,music,,,10000.0,Not placed,IBM,2021/13/05,Excellent
S1227,Joy,male,23.0,CSE,South,2022,5.64,85%,,N,25164,,placed,Accenture,2021/13/05,Good
S1228,Fatima,male,200.0,ECE,North,2021,8.23,85%,Music,No,60765,10000.0,,Google,2021/13/05,avg
S1229,Kabir,Female,22.0,CIVIL,South,2020,9.47,,Drama,,50k,,placed,Infosys,12-10-2021,avg
S1230,Sneha,Female,200.0,it,South,2019,9.78,46.29,Sports,N,95374,0.0,,None,2021/13/05,
S1231,Amit,male,22.0,CSE,North,2021,9.9,,,Y,,5000.0,PENDING,None,12-10-2021,Excellent
S1232,Vikram,M,22.0,CIVIL,nORTH,20-21,8.45,95.2,Coding,Yes,50000,,,IBM,05/11/2022,Poor
S1233,Jose,female,20.0,it,nORTH,2021,4.52,,Drama,No,,,PENDING,Infosys,12-10-2021,Excellent
S1234,Amit,Male,200.0,CSE,South,2023,8.49,,None,,63577,10000.0,Not placed,Wipro,12-10-2021,
S1235,Neha,M,23.0,Civil,West,2020,6.03,85%,Music,,50000,,Not placed,Infosys,05/11/2022,avg
S1236,Zoya,Female,23.0,CSE,North,2022,4.14,,,Yes,50k,5000.0,placed,TCS,12-10-2021,
S1237,Harsh A,Female,20.0,it,North,2022,8.6,,Sports,N,55768,10000.0,placed,Wipro,,
